Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m;Target speed, city;Target speed, coach
163;17.7401;21.002;50;17.6133;50;17.2384;28.9;50
164;14.3478;17.402;50;14.221;50;13.8462;28.9;50
165;10.9555;13.802;50;10.8287;50;10.4539;28.9;50
166;7.5775;10.202;50;7.4718;50;7.1049;28.9;50
167;4.2958;6.6559;50;4.1874;50;3.8286;28.9;50
168;1.348;3.2034;50;1.2819;50;1.1025;19.6249;50
169;0;0.7485;50;0;50;0;0;50
170;0;0;50;0;50;0;0;50
171;0;0;50;0;50;0;0;50
172;0;0;50;0;50;0;0;50
173;0;0;50;0;50;0;0;50
174;0;0;50;0;50;0;0;50
175;0;0;50;0;50;0;0;50
176;0;0;50;0;50;0;0;50
177;0;0;50;0;50;0;0;50
178;0;0;50;0;50;0;0;50
179;0;0;50;0;50;0;0;50
180;0;0;50;0;50;0;0;50
181;0;0;50;0;50;0;0;50
182;0;0;50;0;50;0;0;50
183;0;0;50;0;50;0;0;50
184;0;0;50;0;50;0;0;50
185;0;0;50;0;50;0;0;50
186;0;0;50;0;50;0;0;50
187;0;0;50;0;50;0;0;50
188;0;0;50;0;50;0;0;50
189;0;0;50;0;50;0;0;50
190;0;0;50;0;50;0;0;50
191;0;0;50;0;50;0;0;50
192;0;0;50;0;50;0;0;50
193;0;0;50;0;50;0;0;50
194;0;0;50;0;50;0;0;50
195;0;0;50;0;50;0;0;50
196;0;0;50;0;50;0;0;50
197;0;0;50;0;50;0;0;50
198;0;0;50;0;50;0;0;50
199;0;0;50;0;50;0;0;50
200;0;0;50;0;50;0;0;50
201;1.0035;0;50;1.0988;50;1.2977;9.8048;50
202;3.8069;1.7305;50;3.9976;50;4.3954;13.6;50
203;7.4069;5.2609;50;7.5976;50;7.9954;13.6;50
204;10.9947;8.8609;50;11.1826;50;11.5746;13.6;50
205;13.1912;12.1305;50;13.2838;50;13.4769;13.6;50
206;13.6;13.6;50;13.6;50;13.6;13.6;50
207;13.6;13.6;50;13.6;50;13.6;13.6;50
208;13.6;13.6;50;13.6;50;13.6;13.6;50
209;14.2763;13.6;50;14.7385;50;14.899;25.4879;50
210;16.7525;14.8816;50;17.677;50;17.9981;29.6;50
211;20.3525;17.9631;50;21.277;50;21.5981;29.6;50
212;23.9517;21.5631;50;24.8731;50;25.1911;29.6;50
213;27.4122;25.1596;50;28.1346;50;28.281;29.6;50
214;29.3368;28.2781;50;29.6;50;29.5889;29.6;50
215;29.6;29.6;50;29.6;50;29.6914;30.044;50
216;30.8892;29.8344;50;31.1983;50;31.4061;37.5;50
217;33.7723;31.5828;50;34.3749;50;34.6021;37.5;50
218;36.433;34.6679;50;36.7266;50;36.8374;37.5;50
219;37.5;36.8695;50;37.5;50;37.5;37.5;50
220;37.5;37.5;50;37.5;50;37.5;37.5;50
221;37.5;37.5;50;37.5;50;37.5;37.5;50
222;37.5;37.5;50;37.5;50;37.5;37.5;50
223;37.5;37.5;50;37.5;50;37.5;37.5;50
224;37.5;37.5;50;37.5;50;37.5;37.5;50
225;37.5;37.5;50;37.5;50;37.5;37.5;50
226;37.5;37.5;50;37.5;50;37.5;37.5;50
227;37.5;37.5;50;37.5;50;37.5;37.5;50
228;37.5;37.5;50;37.5;50;37.5;37.5;50
229;37.5;37.5;50;37.5;50;37.5;37.5;50
230;37.5;37.5;50;37.5;50;37.5;37.5;50
231;36.5443;37.5;50;36.2611;50;36.0903;37.5;50
232;34.4443;35.9246;50;34.1611;50;33.9903;34.9826;50
233;33.3;33.8246;50;33.3;50;33.3;33.3;50
234;33.3;33.3;50;33.3;50;33.3;33.3;50
235;33.3;33.3;50;33.0458;50;32.8766;33.3;50
236;31.5488;32.717;50;30.9916;50;30.6533;33.3;50
237;27.9977;30.334;50;27.3916;50;27.0533;33.3;50
238;24.3977;26.734;50;23.7916;50;23.4533;33.3;50
239;20.7977;23.134;50;20.1916;50;19.8533;33.3;50
240;17.1977;19.534;50;16.5916;50;16.2533;33.3;50
241;13.5977;15.934;50;12.9916;50;12.6533;33.3;50
242;9.9977;12.334;50;9.3916;50;9.0533;33.3;50
243;6.4623;8.7489;50;5.8652;50;5.5363;33.3;50
244;3.0036;5.2405;50;2.4384;50;2.1188;33.3;50
245;0.6401;1.7937;50;0.369;50;0.2092;4.0963;50
246;0;0.0352;50;0;50;0;0;50
247;0;0;50;0;50;0;0;50
248;0;0;50;0;50;0;0;50
249;0;0;50;0;50;0;0;50
250;0;0;50;0;50;0;0;50
251;0;0;50;0;50;0;0;50
252;0;0;50;0;50;0;0;50
253;0;0;50;0;50;0;0;50
254;0;0;50;0;50;0;0;50
255;0;0;50;0;50;0;0;50
256;0;0;50;0;50;0;0;50
257;0;0;50;0;50;0;0;50
258;0;0;50;0;50;0;0;50
259;0;0;50;0;50;0;0;50
260;0;0;50;0;50;0;0;50
261;0;0;50;0;50;0;0;50
262;0;0;50;0;50;0;0;50
263;0;0;50;0;50;0;0;50
264;0;0;50;0;50;0;0;50
265;0;0;50;0;50;0;0;50
266;0;0;50;0;50;0;0;50
267;0;0;50;0;50;0;0;50
268;0;0;50;0;50;0;0;50
269;0;0;50;0;50;0;0;50
270;0.4114;0;50;0.6894;50;0.8586;16.3129;50
271;2.6228;1.0432;50;3.1789;50;3.5172;34.2;50
272;6.2228;3.8865;50;6.7789;50;7.1172;34.2;50
273;9.8228;7.4865;50;10.3789;50;10.7172;34.2;50
274;13.4228;11.0865;50;13.9789;50;14.3172;34.2;50
275;17.0228;14.6865;50;17.5789;50;17.9172;34.2;50
276;20.6228;18.2736;50;21.1789;50;21.5172;34.2;50
277;24.1929;21.7303;50;24.7761;50;25.1099;34.2;50
278;27.7092;24.6827;50;28.3093;50;28.5858;34.2;50
279;30.9861;27.2053;50;31.7033;50;31.6243;34.2;50
280;33.3584;29.531;50;33.7808;50;33.5897;34.2;50
281;34.2;31.3327;50;34.2;50;34.2;34.2;50
282;34.2;32.8325;50;34.2;50;34.2;34.2;50
283;34.2;33.9083;50;34.2;50;34.2;34.2;50
284;34.2;34.2;50;34.2;50;34.2;34.2;50
285;34.2;34.2;50;34.2;50;34.2;34.2;50
286;34.2;34.2;50;34.2;50;34.2;34.2;50
287;34.2;34.2;50;34.2;50;34.2;34.2;50
288;34.2;34.2;50;34.2;50;34.2;34.2;50
289;34.2;34.2;50;34.2;50;34.2;34.2;50
290;34.2;34.2;50;34.2;50;34.2;34.2;50
291;34.2;34.2;50;34.2;50;34.2;34.2;50
292;33.0025;34.2;50;32.7206;50;32.5609;34.2;50
293;30.0202;32.9186;50;29.4506;50;29.137;34.2;50
294;26.4507;29.8372;50;25.8694;50;25.5677;34.2;50
295;22.8813;26.2372;50;22.2882;50;21.9983;34.2;50
296;19.3118;22.6372;50;18.707;50;18.4289;34.2;50
297;15.7423;19.0372;50;15.1259;50;14.8596;34.2;50
298;12.1729;15.4372;50;11.5447;50;11.2902;34.2;50
299;8.6043;11.8372;50;7.9967;50;7.7208;34.2;50
300;5.1283;8.2414;50;4.5213;50;4.273;34.2;50
301;1.7441;4.7471;50;1.4017;50;1.305;26.8794;50
302;0.026;1.5243;50;0;50;0;0;50
303;0;0;50;0;50;0;0;50
304;0;0;50;0;50;0;0;50
305;0;0;50;0;50;0;0;50
306;0;0;50;0;50;0;0;50
307;0;0;50;0;50;0;0;50
308;0;0;50;0;50;0;0;50
309;0;0;50;0;50;0;0;50
310;0;0;50;0;50;0;0;50
311;0;0;50;0;50;0;0;50
312;0;0;50;0;50;0;0;50
313;0;0;50;0;50;0;0;50
314;0;0;50;0;50;0;0;50
315;0;0;50;0;50;0;0;50
316;0;0;50;0;50;0;0;50
317;0;0;50;0;50;0;0;50
318;0;0;50;0;50;0;0;50
319;0;0;50;0;50;0;0;50
320;0;0;50;0;50;0;0;50
321;0;0;50;0;50;0;0;50
322;0;0;50;0;50;0;0;50
323;0;0;50;0;50;0;0;50
324;0;0;50;0;50;0;0;50
325;0;0;50;0;50;0;0;50
326;0;0;50;0;50;0;0;50
327;0;0;50;0;50;0;0;50
328;0;0;50;0;50;0;0;50
329;0;0;50;0;50;0;0;50
330;0;0;50;0;50;0;0;50
331;0;0;50;0;50;0;0;50
332;0;0;50;0;50;0;0;50
333;0;0;50;0;50;0;0;50
334;0;0;50;0;50;0;0;50
335;0;0;50;0;50;0;0;50
336;0;0;50;0;50;0;0;50
337;0;0;50;0;50;0;0;50
338;0;0;50;0;50;0;0;50
339;0;0;50;0;50;0;0;50
340;0;0;50;0;50;0;0;50
341;0;0;50;0;50;0;0;50
342;0;0;50;0;50;0;0;50
343;0;0;50;0;50;0;0;50
344;0;0;50;0;50;0;0;50
345;0;0;50;0;50;0;0;50
346;0;0;50;0;50;0;0;50
347;0;0;50;0;50;0;0;50
348;0;0;50;0;50;0;0;50
349;0;0;50;0;50;0;0;50
350;0;0;50;0;50;0;0;50
351;0;0;50;0;50;0;0;50
352;0;0;50;0;50;0;0;50
353;0;0;50;0;50;0;0;50
354;0;0;50;0;50;0;0;50
355;0;0;50;0;50;0;0;50
356;0;0;50;0;50;0;0;50
357;0;0;50;0;50;0;0;50
358;0;0;50;0;50;0.0253;0.4399;50
359;1.4124;0;50;1.7714;50;1.8506;31.3;50
360;4.6248;1.6246;50;5.3429;50;5.4506;31.3;50
361;8.2248;5.0493;50;8.9429;50;9.0506;31.3;50
362;11.8248;8.6493;50;12.5429;50;12.6506;31.3;50
363;15.4248;12.2493;50;16.1429;50;16.2506;31.3;50
364;19.0248;15.8323;50;19.7429;50;19.8506;31.3;50
365;22.6248;19.3053;50;23.3429;50;23.45;31.3;50
366;26.1744;22.5124;50;26.9116;50;27.0149;31.3;50
367;29.2993;25.2025;50;29.8895;50;29.9695;31.3;50
368;30.9872;27.6287;50;31.1994;50;31.2292;31.3;50
369;31.3;29.9296;50;31.3;50;31.3;31.3;50
370;31.3;31.1387;50;31.3;50;31.3;31.3;50
371;30.0393;31.3;50;29.6806;50;29.6268;31.3;50
372;27.1393;29.8219;50;26.7806;50;26.7268;29.5124;50
373;25.5;26.9431;50;25.5;50;25.5;25.5;50
374;25.5;25.5212;50;25.5;50;25.5;25.5;50
375;25.5;25.5;50;25.5;50;25.5;25.5;50
376;25.5;25.5;50;25.5;50;25.5;25.5;50
377;25.5;25.5;50;25.8007;50;25.7662;28.0374;50
378;26.903;25.5;50;27.793;50;27.5785;37.1;50
379;29.9994;26.3585;50;31.1591;50;30.7685;37.1;50
380;33.2057;28.4733;50;34.4114;50;33.9242;37.1;50
381;35.8801;30.778;50;36.5447;50;36.267;37.1;50
382;37.0708;32.9056;50;37.1;50;37.099;37.1;50
383;37.1;35.1937;50;37.1;50;37.1;37.1;50
384;37.1;36.7514;50;37.1;50;37.1;37.1;50
385;37.1;37.1;50;37.1;50;37.1;37.1;50
386;37.1;37.1;50;37.1;50;37.1;37.1;50
387;37.1;37.1;50;37.1;50;37.1;37.1;50
388;37.1;37.1;50;37.1;50;37.1;37.1;50
389;37.1;37.1;50;37.1;50;37.1;37.1;50
390;37.1;37.1;50;37.1;50;37.1;37.1;50
391;37.1;37.1;50;37.1;50;37.1;37.1;50
392;37.1;37.1;50;37.1;50;37.1;37.1;50
393;37.1;37.1;50;37.1;50;37.1;37.1;50
394;37.1;37.1;50;37.1;50;37.1;37.1;50
395;36.6364;37.1;50;36.2719;50;36.2168;37.1;50
396;34.8364;37.1;50;34.4719;50;34.4168;36.3482;50
397;33.5;35.8764;50;33.5;50;33.5;33.5;50
398;33.5486;34.0764;50;33.925;50;33.8329;34.049;50
399;34.5486;33.5;50;34.925;50;34.8329;35.5;50
400;35.5;34.2378;50;35.5;50;35.5;35.5;50
401;35.5;35.2378;50;35.5;50;35.5;35.5;50
402;35.5;35.5;50;35.5;50;35.5;35.5;50
403;35.3997;35.5;50;34.9313;50;34.9798;35.5;50
404;33.4993;35.5;50;32.5627;50;32.6596;35.5;50
405;29.8993;34.1445;50;28.9627;50;29.0596;35.5;50
406;26.2993;30.9889;50;25.3627;50;25.4596;35.5;50
407;22.6993;27.3889;50;21.7627;50;21.8596;35.5;50
408;19.291;23.7889;50;18.7813;50;18.8298;34.8476;50
409;18.4633;20.1889;50;19.1553;50;18.9899;30.9936;50
410;21.0439;18.2897;50;22.5106;50;22.1798;33.7;50
411;24.6421;19.8203;50;26.0937;50;25.7681;33.7;50
412;28.1803;23.2123;50;29.587;50;29.2733;33.7;50
413;31.506;26.7389;50;32.4558;50;32.2612;33.7;50
414;33.3959;30.1942;50;33.6572;50;33.6161;33.7;50
415;33.7;32.7926;50;33.7;50;33.7;33.7;50
416;33.7;33.7;50;33.7;50;33.7;33.7;50
417;33.7;33.7;50;33.7;50;33.7;33.7;50
418;33.7;33.7;50;33.7;50;33.7;33.7;50
419;33.7;33.7;50;33.7;50;33.7;33.7;50
420;33.7;33.7;50;33.7;50;33.7;33.7;50
421;33.7;33.7;50;33.7;50;33.7;33.7;50
422;33.7;33.7;50;33.7;50;33.7;33.7;50
423;33.7;33.7;50;33.7;50;33.7;33.7;50
424;33.7;33.7;50;33.7;50;33.7;33.7;50
425;33.7;33.7;50;33.7;50;33.7;33.7;50
426;33.7;33.7;50;33.7;50;33.7;33.7;50
427;33.7;33.7;50;33.7;50;33.7;33.7;50
428;33.7;33.7;50;33.7;50;33.7;33.7;50
429;33.129;33.7;50;32.2004;50;32.2646;33.7;50
430;30.758;33.7;50;28.9813;50;29.119;33.7;50
431;27.158;31.9629;50;25.542;50;25.6987;33.7;50
432;23.558;28.4258;50;22.1027;50;22.2785;33.7;50
433;19.958;24.8258;50;18.6634;50;18.8582;33.7;50
434;16.358;21.2258;50;15.2242;50;15.4379;33.7;50
435;12.758;17.6258;50;11.7849;50;12.0176;33.7;50
436;9.158;14.0258;50;8.3456;50;8.5974;33.7;50
437;5.6333;10.4258;50;4.998;50;5.2611;33.7;50
438;2.2293;6.8586;50;1.7459;50;2.0146;33.7;50
439;0.275;3.4122;50;0.0608;50;0.1972;4.1006;50
440;0;0.8664;50;0;50;0;0;50
441;0;0;50;0;50;0;0;50
442;0;0;50;0;50;0;0;50
443;0;0;50;0;50;0;0;50
444;1.5053;0;50;1.7326;50;1.581;16.5124;50
445;4.8105;0.8714;50;5.2652;50;4.962;18.8;50
446;8.4105;3.5427;50;8.8652;50;8.562;18.8;50
447;12.0105;7.1427;50;12.4652;50;12.162;18.8;50
448;15.6105;10.7427;50;16.0652;50;15.7255;18.8;50
449;18.1053;14.3103;50;18.3326;50;18.1445;18.8;50
450;18.8;17.3808;50;18.8;50;18.8;18.8;50
451;18.8;18.7418;50;18.8;50;18.8;18.8;50
452;18.8;18.8;50;18.8;50;18.8;18.8;50
453;18.8;18.8;50;18.8;50;18.8;18.8;50
454;18.8;18.8;50;18.8;50;18.8;18.8;50
455;18.8;18.8;50;18.8;50;18.8;18.8;50
456;18.0356;18.8;50;17.8096;50;17.9656;18.8;50
457;15.7856;18.6837;50;15.5596;50;15.7156;17.9428;50
458;14.3;16.7974;50;14.3;50;14.3;14.3;50
459;14.3;14.6637;50;14.3;50;14.3;14.3;50
460;14.3;14.3;50;14.3;50;14.3;14.3;50
461;14.3;14.3;50;14.3;50;14.3;14.3;50
462;14.3;14.3;50;14.3;50;14.3;14.3;50
463;14.3;14.3;50.565;14.3;50.1973;14.3;14.3;50
464;14.3;14.3;52.1231;14.3;50.9616;14.3;14.3;50
465;14.3;14.3;54.1067;14.3;52.1275;14.3;14.3;50
466;14.3;14.3;56.0355;14.3;53.3128;14.3;14.3;99.5769
467;14.3;14.3;57.8573;14.3;54.4602;14.3;14.3;100
468;13.7173;14.3;59.5713;13.4899;55.5559;13.6473;14.3;100
469;11.3345;14.3;61.1821;10.8799;56.6003;11.1946;14.3;100
470;7.7478;12.5654;62.6952;7.3067;57.5953;7.612;14.3;100
471;4.2689;9.0309;64.1157;3.8415;58.543;4.1373;14.3;100
472;1.2884;5.5131;65.4487;1.0747;59.4454;1.2226;10.3323;100
473;0;2.1033;66.699;0;60.3045;0;0;100
474;0;0.2056;67.8573;0;61.1222;0;0;100
475;0;0;68.8142;0;61.9003;0;0;100
476;0;0;69.2479;0;62.6406;0;0;100
477;0;0;69.2779;0;63.3449;0;0;100
478;0;0;69.2779;0;64.0231;0;0;100
479;0;0;69.2779;0;64.6866;0;0;100
480;0;0;69.2779;0;65.3274;0;0;100
481;0;0;69.2779;0;65.9505;0;0;100
482;0;0;69.2779;0;66.5633;0;0;100
483;0;0;69.2779;0;67.1522;0;0;100
484;0;0;69.2779;0;67.7252;0;0;100
485;0;0;69.2779;0;68.2699;0;0;100
486;0;0;69.2779;0;68.7689;0;0;100
487;0;0;69.2779;0;69.1436;0;0;100
488;0;0;69.2779;0;69.2779;0;0;100
489;0;0;69.2779;0;69.2779;0;0;100
490;0;0;69.2779;0;69.2779;0;0;100
491;0;0;69.2779;0;69.2779;0;0;100
492;0;0;69.2779;0;69.2779;0;0;100
493;0;0;69.2779;0;69.2779;0;0;100
494;0;0;69.2779;0;69.2779;0;0;100
495;0;0;69.2779;0;69.2779;0;0;100
496;0.7895;0;69.2779;1.0168;69.2779;0.8594;5.2998;100
497;3.3789;0.1413;69.2779;3.8336;69.2779;3.5189;11.1;100
498;6.9789;2.0826;69.2779;7.4336;69.2779;7.1189;11.1;100
499;9.9395;5.6826;69.2779;10.1668;69.2779;10.0094;11.1;100
500;11.1;9.0719;69.2779;11.1;69.2779;11.1;11.1;100
501;11.1;10.8806;69.2779;11.1;69.2779;11.1;11.1;100
502;11.1;11.1;69.2779;11.1;69.2779;11.1;11.1;100
503;11.1;11.1;69.2779;11.1;69.2779;11.1;11.1;100
504;11.1;11.1;69.2779;11.1;69.2779;11.1;11.1;100
505;11.1;11.1;69.2779;11.1;69.2779;11.1;11.1;100
506;11.8329;11.1;69.2779;12.1466;69.2779;11.9892;18.1152;100
507;14.3632;11.2252;69.2779;14.9932;69.2779;14.6785;25.3;100
