country;year;value
OM;2010;0
OM;2015;0
OM;2016;0
OM;2017;0
OM;2018;0
PK;2000;0
PK;2005;0
PK;2010;0
PK;2015;0
PK;2016;0
PK;2017;0
PK;2018;0
PA;2000;0
PA;2005;0
PA;2010;0
PA;2015;0
PA;2016;0
PA;2017;0
PA;2018;0
PE;2000;0
PE;2005;0
PE;2010;0
PE;2015;0
PE;2016;0
PE;2017;0
PE;2018;0
PH;2000;0
PH;2005;0
PH;2010;0
PH;2015;0
PH;2016;0
PH;2017;0
PH;2018;0
PL;2000;0
PL;2005;0
PL;2010;0
PL;2015;0
PL;2016;0
PL;2017;0
PL;2018;0
KP;2000;0
KP;2005;0
KP;2010;0
KP;2015;0
KP;2016;0
KP;2017;0
KP;2018;0
PT;2000;0
PT;2005;0
PT;2010;0
PT;2015;0
PT;2016;0
PT;2017;0
PT;2018;0
PY;2000;0
PY;2005;0
PY;2010;0
PY;2015;0
PY;2016;0
PY;2017;0
PY;2018;0
QA;2000;0
QA;2005;0
QA;2010;0
QA;2015;0
QA;2016;0
QA;2017;0
QA;2018;0
RO;2000;0
RO;2005;0
RO;2010;0
RO;2015;0
RO;2016;0
RO;2017;0
RO;2018;0
RU;2000;0
RU;2005;0
RU;2010;0
RU;2015;0
RU;2016;0
RU;2017;0
RU;2018;0
SA;2000;0
SA;2005;0
SA;2010;0
SA;2015;0
SA;2016;0
SA;2017;0
SA;2018;0
SD;2000;0
SD;2005;0
SD;2010;0
SD;2015;0
SD;2016;0
SD;2017;0
SD;2018;0
SN;2000;0
SN;2005;0
SN;2010;0
SN;2015;0
SN;2016;0
SN;2017;0
SN;2018;0
SG;2000;0
SG;2005;0
SG;2010;0
SG;2015;0
SG;2016;0
SG;2017;0
SG;2018;0
SV;2000;0
SV;2005;0
SV;2010;0
SV;2015;0
SV;2016;0
SV;2017;0
SV;2018;0
RS;2000;0
RS;2005;0
RS;2010;0
RS;2015;0
RS;2016;0
RS;2017;0
RS;2018;0
SS;2000;0
SS;2005;0
SS;2010;0
SS;2015;0
SS;2016;0
SS;2017;0
SS;2018;0
SR;2000;0
SR;2005;0
SR;2010;0
SR;2015;0
SR;2016;0
SR;2017;0
SR;2018;0
SK;2000;0
SK;2005;0
SK;2010;0
SK;2015;0
SK;2016;0
SK;2017;0
SK;2018;0
SI;2000;0
SI;2005;0
SI;2010;0
SI;2015;0
SI;2016;0
SI;2017;0
SI;2018;0
SE;2000;0.3
SE;2005;0.35
SE;2010;0.399837354
SE;2015;0.738035539
SE;2016;0.730622618
SE;2017;0.857637993
SE;2018;0.91211681
SY;2000;0
SY;2005;0
SY;2010;0
SY;2015;0
SY;2016;0
SY;2017;0
SY;2018;0
TG;2000;0
TG;2005;0
TG;2010;0
TG;2015;0
TG;2016;0
TG;2017;0
TG;2018;0
TH;2000;0
TH;2005;0
TH;2010;0
TH;2015;0
TH;2016;0
TH;2017;0
TH;2018;0
TJ;2000;0
TJ;2005;0
TJ;2010;0
TJ;2015;0
TJ;2016;0
TJ;2017;0
TJ;2018;0
TM;2000;0
TM;2005;0
TM;2010;0
TM;2015;0
TM;2016;0
TM;2017;0
TM;2018;0
TT;2000;0
TT;2005;0
TT;2010;0
TT;2015;0
TT;2016;0
TT;2017;0
TT;2018;0
TN;2000;0
TN;2005;0
TN;2010;0
TN;2015;0
TN;2016;0
TN;2017;0
TN;2018;0
TR;2000;0
TR;2005;0
TR;2010;0
TR;2015;0
TR;2016;0
TR;2017;0
TR;2018;0
TW;2000;0
TW;2005;0
TW;2010;0
TW;2015;0
TW;2016;0
TW;2017;0
TW;2018;0
TZ;2000;0
TZ;2005;0
TZ;2010;0
TZ;2015;0
TZ;2016;0
TZ;2017;0
TZ;2018;0
UA;2000;0
UA;2005;0
UA;2010;0
UA;2015;0
UA;2016;0
UA;2017;0
UA;2018;0
UY;2000;0
UY;2005;0
UY;2010;0
UY;2015;0
UY;2016;0
UY;2017;0
UY;2018;0
US;2000;0
US;2005;0
US;2010;0
US;2015;0
US;2016;0
US;2017;0
US;2018;0
UZ;2000;0
UZ;2005;0
UZ;2010;0
UZ;2015;0
UZ;2016;0
UZ;2017;0
UZ;2018;0
VE;2000;0
VE;2005;0
VE;2010;0
VE;2015;0
VE;2016;0
VE;2017;0
VE;2018;0
VN;2000;0
VN;2005;0
VN;2010;0
VN;2015;0
VN;2016;0
VN;2017;0
VN;2018;0
YE;2000;0
YE;2005;0
YE;2010;0
YE;2015;0
YE;2016;0
YE;2017;0
YE;2018;0
ZA;2000;0
ZA;2005;0
ZA;2010;0
ZA;2015;0
ZA;2016;0
ZA;2017;0
ZA;2018;0
ZM;2000;0
ZM;2005;0
ZM;2010;0
ZM;2015;0
ZM;2016;0
ZM;2017;0
ZM;2018;0
ZW;2000;0
ZW;2005;0
ZW;2010;0
ZW;2015;0
ZW;2016;0
ZW;2017;0
ZW;2018;0
RER;2000;0
RER;2005;0
RER;2010;0.03
RER;2015;0.08
RER;2016;0.08
RER;2017;0.1
RER;2018;0.09

