;;Human health, normalized;Terrestrial ecosystems, normalized;Freshwater ecosystems, normalized;Marine ecosystems, normalized;Resources, normalized
;;points;points;points;points;points
;;;;;;
_lci_direct_noise, octave 6, evening time, rural;noise, octave 6, evening time, rural;1.12E-06;0;0;0;0
_lci_direct_noise, octave 6, evening time, suburban;noise, octave 6, evening time, suburban;3.21E-05;0;0;0;0
_lci_direct_noise, octave 6, evening time, urban;noise, octave 6, evening time, urban;2.69E-05;0;0;0;0
_lci_direct_noise, octave 6, night time, rural;noise, octave 6, night time, rural;1.96E-06;0;0;0;0
_lci_direct_noise, octave 6, night time, suburban;noise, octave 6, night time, suburban;5.7E-05;0;0;0;0
_lci_direct_noise, octave 6, night time, urban;noise, octave 6, night time, urban;4.56E-05;0;0;0;0
_lci_direct_noise, octave 7, day time, rural;noise, octave 7, day time, rural;4.44E-07;0;0;0;0
_lci_direct_noise, octave 7, day time, suburban;noise, octave 7, day time, suburban;1.68E-05;0;0;0;0
_lci_direct_noise, octave 7, day time, urban;noise, octave 7, day time, urban;7.69E-06;0;0;0;0
_lci_direct_noise, octave 7, evening time, rural;noise, octave 7, evening time, rural;9E-07;0;0;0;0
_lci_direct_noise, octave 7, evening time, suburban;noise, octave 7, evening time, suburban;3.07E-05;0;0;0;0
_lci_direct_noise, octave 7, evening time, urban;noise, octave 7, evening time, urban;2.57E-05;0;0;0;0
_lci_direct_noise, octave 7, night time, rural;noise, octave 7, night time, rural;1.53E-06;0;0;0;0
_lci_direct_noise, octave 7, night time, suburban;noise, octave 7, night time, suburban;5.42E-05;0;0;0;0
_lci_direct_noise, octave 7, night time, urban;noise, octave 7, night time, urban;4.33E-05;0;0;0;0
_lci_direct_noise, octave 8, day time, rural;noise, octave 8, day time, rural;1.53E-07;0;0;0;0
_lci_direct_noise, octave 8, day time, suburban;noise, octave 8, day time, suburban;1.48E-05;0;0;0;0
_lci_direct_noise, octave 8, day time, urban;noise, octave 8, day time, urban;6.79E-06;0;0;0;0
_lci_direct_noise, octave 8, evening time, rural;noise, octave 8, evening time, rural;4.3E-07;0;0;0;0
_lci_direct_noise, octave 8, evening time, suburban;noise, octave 8, evening time, suburban;2.85E-05;0;0;0;0
_lci_direct_noise, octave 8, evening time, urban;noise, octave 8, evening time, urban;2.38E-05;0;0;0;0
_lci_direct_noise, octave 8, night time, rural;noise, octave 8, night time, rural;6.46E-07;0;0;0;0
_lci_direct_noise, octave 8, night time, suburban;noise, octave 8, night time, suburban;4.95E-05;0;0;0;0
_lci_direct_noise, octave 8, night time, urban;noise, octave 8, night time, urban;3.97E-05;0;0;0;0
_lci_direct_brake_wear;market for brake wear emissions, passenger car;-0.225883365;-4.41E-05;-2.17E-06;-1.24E-05;0
_lci_direct_road_wear;market for road wear emissions, passenger car;-0.015528438;0;0;0;0
_lci_direct_tyre_wear;market for tyre wear emissions, passenger car;-0.002739264;-6.06E-07;-3.17E-07;-6.79E-08;0
_lci_car_maintenance;maintenance, passenger car;0.211230195;0.027301679;0.002134511;4.51E-05;0.477095509
_lci_energy_cng;market for natural gas, from high pressure network (1-5 bar), at service station;8.48E-05;1.43E-05;4.73E-07;7.5E-09;0.001368105
_lci_energy_diesel;market for diesel;8.63E-05;1.68E-05;2.67E-07;8.29E-09;0.001803497
_lci_energy_electricity;market group for electricity, low voltage;0.000102534;1.3E-05;1.89E-06;1.68E-08;5.25E-05
_lci_energy_h2;Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station;0.005692947;0.000767616;0.00010156;5.77E-07;0.003247618
_lci_energy_petrol;market for petrol, low-sulfur;0.000115661;2.31E-05;3.83E-07;1.02E-08;0.001890096
_lci_glider;market for glider, passenger car;0.002308373;0.000167714;2.42E-05;5.09E-07;0.001460118
_lci_glider_lightweighting;Glider lightweighting;-8.97E-06;-6.53E-05;5.83E-07;1.24E-08;-0.000314541
_lci_powertrain;market for internal combustion engine, passenger car;0.00224437;0.00021674;2.59E-05;1.21E-06;0.001543459
_lci_powertrain_charger;market for charger, electric passenger car;0.021565544;0.000870454;0.00024095;1.94E-06;0.006020891
_lci_powertrain_combustion_EoL;market for manual dismantling of used passenger car with internal combustion engine;2.12E-06;5.33E-07;1.12E-08;2.43E-10;2.15E-06
_lci_powertrain_converter;market for converter, for electric passenger car;0.032813084;0.001216831;0.000389146;2.68E-06;0.007960321
_lci_powertrain_electric_engine;market for electric motor, electric passenger car;0.006955736;0.000278745;6.51E-05;6.03E-07;0.001995754
_lci_powertrain_electric_EoL;market for manual dismantling of used electric passenger car;2.12E-06;5.33E-07;1.12E-08;2.43E-10;2.15E-06
_lci_powertrain_electric_powertrain_EoL;market for used powertrain from electric passenger car, manual dismantling;1.09E-05;1.22E-06;4.39E-08;3.66E-09;2.38E-06
_lci_powertrain_fuel_cell_ancillary_BoP;Ancillary BoP;0.007394251;0.00025347;7.83E-05;5.39E-07;0.003441777
_lci_powertrain_fuel_cell_essential_BoP;Essential BoP;0.001315852;0.000158481;1.06E-05;1.68E-07;0.001859104
_lci_powertrain_fuel_cell_stack;Stack 2020;0.007400052;0.000733764;5.95E-05;5.31E-07;0.004031868
_lci_powertrain_inverter;market for inverter, for electric passenger car;0.040668518;0.001367753;0.000484747;3.34E-06;0.009266258
_lci_powertrain_power_distribution_unit;market for power distribution unit, for electric passenger car;0.0649517;0.001618665;0.00080087;4.88E-06;0.011283481
_lci_road;market for road;0.003074855;0.000790236;1.28E-05;3.32E-07;0.009408731
_lci_storage_battery_BoP;Battery BoP;0.004980464;0.000334956;4.94E-05;4.85E-07;0.002427033
_lci_storage_battery_cell;Battery cell;0.01815327;0.001128041;0.000165853;1.25E-06;0.00637272
_lci_storage_battery_cell_production_electricity;market group for electricity, medium voltage;0.000142368;1.75E-05;1.55E-06;1.21E-08;0.000105188
_lci_storage_battery_cell_production_heat;market for heat, central or small-scale, natural gas;4.92E-06;1.32E-06;1.25E-08;2.86E-10;3.17E-05
_lci_storage_cng_tank;glass fibre reinforced plastic production, polyamide, injection moulded;0.000808935;0.000192932;3.43E-06;1.25E-07;0.002973086
_lci_storage_fuel_tank;polyethylene production, high density, granulate;0.000153898;4.32E-05;1.12E-07;1.3E-08;0.002070867
_lci_storage_h2_tank;Fuel tank, compressed hydrogen gas, 700bar;0.00638713;0.000880465;5.65E-05;8.53E-07;0.008824776
