;;Human health;Terrestrial ecosystems;Freshwater ecosystems;Marine ecosystems;Resources
;;DALY;Species.year;Species.year;Species.year;USD2013
_lci_direct_noise, octave 8, evening time, urban;noise, octave 8, evening time, urban;4.82E-07;0;0;0;0
_lci_direct_noise, octave 8, night time, rural;noise, octave 8, night time, rural;1.31E-08;0;0;0;0
_lci_direct_noise, octave 8, night time, suburban;noise, octave 8, night time, suburban;1E-06;0;0;0;0
_lci_direct_noise, octave 8, night time, urban;noise, octave 8, night time, urban;8.04E-07;0;0;0;0
_lci_direct_road_wear;market for road wear emissions, passenger car;-0.000315;0;0;0;0
_lci_direct_tyre_wear;market for brake wear emissions, passenger car;-5.5400036E-05;-1.09631E-10;-5.72E-11;-1.2292E-11;0
_lci_direct_brake_wear;maintenance, passenger car;-0.00457100263;-7.954E-09;-3.92E-10;-2.240106E-09;0
_lci_car_maintenance;market for tyre wear emissions, passenger car;0.0042710636;4.922400957E-06;3.8518085E-07;8.15E-09;117.183047
_lci_energy_cng;market for natural gas, from high pressure network (1-5 bar), at service station;1.716445E-06;2.57910177E-09;8.5375087E-11;1.354E-12;0.42487277
_lci_energy_diesel;market for diesel;1.747224E-06;3.02520074E-09;4.8130168E-11;1.493E-12;0.553454479
_lci_energy_electricity;market group for electricity, low voltage;2.0756937E-06;2.341700259E-09;3.4083405E-10;3.024E-12;0.01664359
_lci_energy_h2;Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station;0.00011524383;1.3847000812E-07;1.83120495E-08;1.042E-10;1.029694491
_lci_energy_petrol;market for petrol, low-sulfur;2.346354E-06;4.147600898E-09;6.9158678E-11;1.845E-12;0.580148883
_lci_glider;market for glider, passenger car;4.6822472E-05;3.02870169E-08;4.3684889E-09;9.19E-11;0.457154949
_lci_glider_lightweighting;Glider lightweighting;-1.79065400000002E-07;-1.1767999144E-08;1.0519779E-10;2.23E-12;-0.101131152
_lci_powertrain;market for internal combustion engine, passenger car;4.5418113E-05;3.91230159E-08;4.6805961E-09;2.19E-10;0.485524475
_lci_powertrain_charger;market for charger, electric passenger car;0.00043660877;1.56930147E-07;4.34922599E-08;3.495E-10;1.892577329
_lci_powertrain_combustion_EoL;market for manual dismantling of used passenger car with internal combustion engine;4.2902997E-08;9.60950184E-11;2.0287413E-12;4.38E-14;0.000667798
_lci_powertrain_converter;market for converter, for electric passenger car;0.00066501037;2.19420136E-07;7.0233259E-08;4.828E-10;2.507314264
_lci_powertrain_electric_engine;market for electric motor, electric passenger car;0.000141184884;5.02630295E-08;1.1779663E-08;1.089E-10;0.625973
_lci_powertrain_electric_EoL;market for manual dismantling of used electric passenger car;4.2902997E-08;9.60950184E-11;2.0287413E-12;4.38E-14;0.000667798
_lci_powertrain_electric_powertrain_EoL;market for used powertrain from electric passenger car, manual dismantling;-2.19878919E-07;-2.19655418E-10;-7.9140233E-12;-6.609E-13;-0.000739948
_lci_powertrain_fuel_cell_ancillary_BoP;Ancillary BoP;0.000150019133;4.58160251E-08;1.41015941E-08;9.72E-11;1.069686886
_lci_powertrain_fuel_cell_essential_BoP;Essential BoP;2.6639164E-05;2.860600893E-08;1.9144781E-09;3.03E-11;0.580763863
_lci_powertrain_fuel_cell_stack;Stack 2020;0.00014986115;1.324270104E-07;1.07852101E-08;9.58E-11;1.263075008
_lci_powertrain_inverter;market for inverter, for electric passenger car;0.00082402285;2.46790116E-07;8.7533551E-08;6.03E-10;2.913639455
_lci_powertrain_power_distribution_unit;market for power distribution unit, for electric passenger car;0.00131051264;2.92080161E-07;1.45074142E-07;8.8E-10;3.542258365
_lci_road;market for road;6.230255E-05;1.42578013E-07;2.3083749E-09;6E-11;2.896671572
_lci_storage_battery_BoP;Battery BoP;0.000100870433;6.03910171E-08;8.9089161E-09;8.74E-11;0.762047488
_lci_storage_battery_cell;Battery cell;0.000367278555;2.036500604E-07;2.9912538E-08;2.256E-10;2.005096602
_lci_storage_battery_cell_production_electricity;market group for electricity, medium voltage;2.8851625E-06;3.150400312E-09;2.7999736E-10;2.18E-12;0.033497675
_lci_storage_battery_cell_production_heat;market for heat, central or small-scale, natural gas;9.962326E-08;2.38665013E-10;2.2548214E-12;5.16E-14;0.009835376
_lci_storage_cng_tank;glass fibre reinforced plastic production, polyamide, injection moulded;1.63830266E-05;3.4835600978E-08;6.1904994E-10;2.256E-11;0.9218387
_lci_storage_fuel_tank;polyethylene production, high density, granulate;3.113215061E-06;7.7882100806E-09;2.0308668E-11;2.347E-12;0.63825239
_lci_storage_h2_tank;Fuel tank, compressed hydrogen gas, 700bar;0.00012937117;1.588100322E-07;1.02039096E-08;1.54E-10;2.761183574
