;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise, midpoint;human noise, endpoint
noise, octave 5, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448000;2.53568E-07
noise, octave 6, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293000;1.65838E-07
noise, octave 7, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275000;1.5565E-07
noise, octave 8, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243000;1.37538E-07
noise, octave 1, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58400;3.30544E-08
noise, octave 2, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131000;7.4146E-08
noise, octave 3, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313000;1.77158E-07
noise, octave 4, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;583000;3.29978E-07
noise, octave 5, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;842000;4.76572E-07
noise, octave 6, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;961000;5.43926E-07
noise, octave 7, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;918000;5.19588E-07
noise, octave 8, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;851000;4.81666E-07
noise, octave 1, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98900;5.59774E-08
noise, octave 2, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221000;1.25086E-07
noise, octave 3, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;531000;3.00546E-07
noise, octave 4, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;989000;5.59774E-07
noise, octave 5, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1430000;8.0938E-07
noise, octave 6, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1630000;9.2258E-07
noise, octave 7, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550000;8.773E-07
noise, octave 8, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1420000;8.0372E-07
noise, octave 1, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39100;2.21306E-08
noise, octave 2, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87500;4.9525E-08
noise, octave 3, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210000;1.1886E-07
noise, octave 4, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;391000;2.21306E-07
noise, octave 5, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;563000;3.18658E-07
noise, octave 6, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640000;3.6224E-07
noise, octave 7, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;601000;3.40166E-07
noise, octave 8, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;529000;2.99414E-07
noise, octave 1, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69700;3.94502E-08
noise, octave 2, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156000;8.8296E-08
noise, octave 3, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;374000;2.11684E-07
noise, octave 4, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;696000;3.93936E-07
noise, octave 5, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1010000;5.7166E-07
noise, octave 6, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1150000;6.509E-07
noise, octave 7, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100000;6.226E-07
noise, octave 8, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1020000;5.7732E-07
noise, octave 1, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124000;7.0184E-08
noise, octave 2, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277000;1.56782E-07
noise, octave 3, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;665000;3.7639E-07
noise, octave 4, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1240000;7.0184E-07
noise, octave 5, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1790000;1.01314E-06
noise, octave 6, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2040000;1.15464E-06
noise, octave 7, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1940000;1.09804E-06
noise, octave 8, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1770000;1.00182E-06
noise, octave 1, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1440;8.1504E-10
noise, octave 2, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3230;1.82818E-09
noise, octave 3, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7740;4.38084E-09
noise, octave 4, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14300;8.0938E-09
noise, octave 5, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20400;1.15464E-08
noise, octave 6, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21700;1.22822E-08
noise, octave 7, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15900;8.9994E-09
noise, octave 8, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5470;3.09602E-09
noise, octave 1, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2570;1.45462E-09
noise, octave 2, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5760;3.26016E-09
