,variable,powertrain,euro_class,component,hot
198,a,ICEV-g,5.0,NH3,1.611346676945688e-05
199,a,ICEV-g,5.0,NMHC,1.947710211042706e-06
200,a,ICEV-g,5.0,NO2,8.793322381210774e-07
201,a,ICEV-g,5.0,NOx,1.2933481987532339e-05
202,a,ICEV-g,5.0,PM2.5,1.6720935479991531e-06
203,a,ICEV-g,5.0,Pb,1.2474212159618898e-08
204,a,ICEV-g,6.0,Benzene,1.215964297196707e-08
205,a,ICEV-g,6.0,CH4,5.482551116965513e-06
206,a,ICEV-g,6.0,CO,0.0001164760052477197
207,a,ICEV-g,6.0,FC_MJ,0.0010000000000000002
208,a,ICEV-g,6.0,HC,6.646578776792853e-06
209,a,ICEV-g,6.0,N2O,2.5512136767660685e-07
210,a,ICEV-g,6.0,NH3,1.6349557668647994e-05
211,a,ICEV-g,6.0,NMHC,1.1640277660264257e-06
212,a,ICEV-g,6.0,NO2,8.980533082910585e-07
213,a,ICEV-g,6.0,NOx,1.0968267643697067e-05
214,a,ICEV-g,6.0,PM2.5,4.852986595558366e-07
215,a,ICEV-g,6.0,Pb,1.2474316782880511e-08
216,a,ICEV-g,6.1,Benzene,1.215964297196707e-08
217,a,ICEV-g,6.1,CH4,5.482551116965513e-06
218,a,ICEV-g,6.1,CO,0.0001164760052477197
219,a,ICEV-g,6.1,FC_MJ,0.0010000000000000002
220,a,ICEV-g,6.1,HC,6.646578776792853e-06
221,a,ICEV-g,6.1,N2O,2.5512136767660685e-07
222,a,ICEV-g,6.1,NH3,1.6349557668647994e-05
223,a,ICEV-g,6.1,NMHC,1.1640277660264257e-06
224,a,ICEV-g,6.1,NO2,8.980533082910585e-07
225,a,ICEV-g,6.1,NOx,1.0968267643697067e-05
226,a,ICEV-g,6.1,PM2.5,4.852986595558366e-07
227,a,ICEV-g,6.1,Pb,1.2474316782880511e-08
228,a,ICEV-g,6.2,Benzene,1.215964297196707e-08
229,a,ICEV-g,6.2,CH4,5.482551116965513e-06
230,a,ICEV-g,6.2,CO,0.0001164760052477197
231,a,ICEV-g,6.2,FC_MJ,0.0010000000000000002
232,a,ICEV-g,6.2,HC,6.646578776792853e-06
233,a,ICEV-g,6.2,N2O,2.5512136767660685e-07
234,a,ICEV-g,6.2,NH3,1.6349557668647994e-05
235,a,ICEV-g,6.2,NMHC,1.1640277660264257e-06
236,a,ICEV-g,6.2,NO2,8.980533082910585e-07
237,a,ICEV-g,6.2,NOx,1.0968267643697067e-05
238,a,ICEV-g,6.2,PM2.5,4.852986595558366e-07
239,a,ICEV-g,6.2,Pb,1.2474316782880511e-08
240,a,ICEV-g,6.3,Benzene,1.215964297196707e-08
241,a,ICEV-g,6.3,CH4,5.482551116965513e-06
242,a,ICEV-g,6.3,CO,0.0001164760052477197
243,a,ICEV-g,6.3,FC_MJ,0.0010000000000000002
244,a,ICEV-g,6.3,HC,6.646578776792853e-06
245,a,ICEV-g,6.3,N2O,2.5512136767660685e-07
246,a,ICEV-g,6.3,NH3,1.6349557668647994e-05
247,a,ICEV-g,6.3,NMHC,1.1640277660264257e-06
248,a,ICEV-g,6.3,NO2,8.980533082910585e-07
249,a,ICEV-g,6.3,NOx,1.0968267643697067e-05
250,a,ICEV-g,6.3,PM2.5,4.852986595558366e-07
