name;location;unit;reference product;UVEK name;UVEK location;UVEK unit;UVEK ref prod
glass fibre reinforced plastic production, polyester resin, hand lay-up;RER;kilogram;glass fibre reinforced plastic, polyester resin, hand lay-up;Glass fibre reinforced plastic, polyester resin, hand lay-up, at plant;RER;kilogram;Glass fibre reinforced plastic, polyester resin, hand lay-up, at plant
market for glider, passenger car;GLO;kilogram;glider, passenger car;glider, for passenger car;RER;kilogram;glider, for passenger car
graphite production;RoW;kilogram;graphite;Graphite, at plant;RER;kilogram;Graphite, at plant
market for graphite;GLO;kilogram;graphite;Graphite, at plant;RER;kilogram;Graphite, at plant
gravel production, crushed;RoW;kilogram;gravel, crushed;Gravel, crushed, at mine;CH;kilogram;Gravel, crushed, at mine
market for gypsum fibreboard;GLO;kilogram;gypsum fibreboard;Gypsum fibre board, at plant;CH;kilogram;Gypsum fibre board, at plant
market for hard coal;Europe, without Russia and Turkey;kilogram;hard coal;Hard coal, at regional storage;WEU;kilogram;Hard coal, at regional storage
treatment of hard coal ash, residual material landfill;DE;kilogram;hard coal ash;Disposal, hard coal ash from stove, 0% water, to sanitary landfill;CH;kilogram;Disposal, hard coal ash from stove, 0% water, to sanitary landfill
treatment of hazardous waste, hazardous waste incineration;RoW;kilogram;hazardous waste, for incineration;Disposal, hazardous waste, 25% water, to hazardous waste incineration;CH;kilogram;Disposal, hazardous waste, 25% water, to hazardous waste incineration
treatment of hazardous waste, hazardous waste incineration;CH;kilogram;hazardous waste, for incineration;Disposal, hazardous waste, 25% water, to hazardous waste incineration;CH;kilogram;Disposal, hazardous waste, 25% water, to hazardous waste incineration
market group for heat, central or small-scale, natural gas;RER;megajoule;heat, central or small-scale, natural gas;Heat, natural gas, at boiler condensing modulating >100kW;RER;megajoule;Heat, natural gas, at boiler condensing modulating >100kW
heat production, natural gas, at boiler condensing modulating >100kW;Europe without Switzerland;megajoule;heat, district or industrial, natural gas;Heat, natural gas, at boiler condensing modulating >100kW;RER;megajoule;Heat, natural gas, at boiler condensing modulating >100kW
heat production, natural gas, at industrial furnace >100kW;RoW;megajoule;heat, district or industrial, natural gas;Heat, natural gas, at industrial furnace >100kW;RER;megajoule;Heat, natural gas, at industrial furnace >100kW
heat production, natural gas, at industrial furnace low-NOx >100kW;Europe without Switzerland;megajoule;heat, district or industrial, natural gas;Heat, natural gas, at industrial furnace low-NOx >100kW;RER;megajoule;Heat, natural gas, at industrial furnace low-NOx >100kW
heat production, natural gas, at industrial furnace low-NOx >100kW;RoW;megajoule;heat, district or industrial, natural gas;Heat, natural gas, at industrial furnace low-NOx >100kW;RER;megajoule;Heat, natural gas, at industrial furnace low-NOx >100kW
