,powertrain,euro_class,type,Component,hot
157,ICEV-d,3.0,diurnal,CH4,0.0
158,ICEV-d,3.0,diurnal,CO,0.0
159,ICEV-d,3.0,diurnal,FC_MJ,0.0
160,ICEV-d,3.0,diurnal,HC,0.0
161,ICEV-d,3.0,diurnal,N2O,0.0
162,ICEV-d,3.0,diurnal,NH3,0.0
163,ICEV-d,3.0,diurnal,NMHC,0.0
164,ICEV-d,3.0,diurnal,NO2,0.0
165,ICEV-d,3.0,diurnal,NOx,0.0
166,ICEV-d,3.0,diurnal,PM2.5,0.0
167,ICEV-d,3.0,diurnal,Pb,0.0
168,ICEV-d,3.0,running losses,Benzene,0.0
169,ICEV-d,3.0,running losses,CH4,0.0
170,ICEV-d,3.0,running losses,CO,0.0
171,ICEV-d,3.0,running losses,FC_MJ,0.0
172,ICEV-d,3.0,running losses,HC,0.0
173,ICEV-d,3.0,running losses,N2O,0.0
174,ICEV-d,3.0,running losses,NH3,0.0
175,ICEV-d,3.0,running losses,NMHC,0.0
176,ICEV-d,3.0,running losses,NO2,0.0
177,ICEV-d,3.0,running losses,NOx,0.0
178,ICEV-d,3.0,running losses,PM2.5,0.0
179,ICEV-d,3.0,running losses,Pb,0.0
180,ICEV-d,3.0,soak,Benzene,0.0
181,ICEV-d,3.0,soak,CH4,0.0
182,ICEV-d,3.0,soak,CO,0.0
183,ICEV-d,3.0,soak,FC_MJ,0.0
184,ICEV-d,3.0,soak,HC,0.0
185,ICEV-d,3.0,soak,N2O,0.0
186,ICEV-d,3.0,soak,NH3,0.0
187,ICEV-d,3.0,soak,NMHC,0.0
188,ICEV-d,3.0,soak,NO2,0.0
189,ICEV-d,3.0,soak,NOx,0.0
190,ICEV-d,3.0,soak,PM2.5,0.0
191,ICEV-d,3.0,soak,Pb,0.0
192,ICEV-d,4.0,cold start,Benzene,0.00190308375749737
193,ICEV-d,4.0,cold start,CH4,0.00390376173891127
194,ICEV-d,4.0,cold start,CO,1.172242999076845
195,ICEV-d,4.0,cold start,FC_MJ,0.930938065052032
196,ICEV-d,4.0,cold start,HC,0.162656739354134
197,ICEV-d,4.0,cold start,N2O,0.0
198,ICEV-d,4.0,cold start,NH3,0.0
199,ICEV-d,4.0,cold start,NMHC,0.158752977848053
200,ICEV-d,4.0,cold start,NO2,-0.22276981174945798
201,ICEV-d,4.0,cold start,NOx,-0.2768890708684925
202,ICEV-d,4.0,cold start,PM2.5,0.04134796909056606
