country;year;value
KE;2017;0
KE;2018;0
KG;2000;0
KG;2005;0
KG;2010;0
KG;2015;0
KG;2016;0
KG;2017;0
KG;2018;0
KH;2000;0
KH;2005;0
KH;2010;0
KH;2015;0
KH;2016;0
KH;2017;0
KH;2018;0
KR;2000;0
KR;2005;0.00075816
KR;2010;0.023681222
KR;2015;0.024037256
KR;2016;0.027482248
KR;2017;0.02800433
KR;2018;0.034499928
KW;2000;0
KW;2005;0
KW;2010;0
KW;2015;0
KW;2016;0
KW;2017;0
KW;2018;0
LB;2000;0
LB;2005;0
LB;2010;0
LB;2015;0
LB;2016;0
LB;2017;0
LB;2018;0
LY;2000;0
LY;2005;0
LY;2010;0
LY;2015;0
LY;2016;0
LY;2017;0
LY;2018;0
LK;2000;0
LK;2005;0
LK;2010;0
LK;2015;0
LK;2016;0
LK;2017;0
LK;2018;0
LT;2000;0
LT;2005;0.003794963
LT;2010;0.038022553
LT;2015;0.04350925
LT;2016;0.034496642
LT;2017;0.04089721
LT;2018;0.042129073
LU;2000;0
LU;2005;0
LU;2010;0.022902448
LU;2015;0.046435009
LU;2016;0.05047975
LU;2017;0.065120753
LU;2018;0.064875118
LV;2000;0
LV;2005;0.004993521
LV;2010;0.0276034
LV;2015;0.019518132
LV;2016;0.001278762
LV;2017;0.000875963
LV;2018;0.034676293
MA;2000;0
MA;2005;0
MA;2010;0
MA;2015;0
MA;2016;0
MA;2017;0
MA;2018;0
MU;2000;0
MU;2005;0
MU;2010;0
MU;2015;0
MU;2016;0
MU;2017;0
MU;2018;0
MD;2000;0
MD;2005;0
MD;2010;0
MD;2015;0
MD;2016;0
MD;2017;0
MD;2018;0
MX;2000;0
MX;2005;0
MX;2010;0
MX;2015;0
MX;2016;0
MX;2017;0
MX;2018;0
MT;2000;0
MT;2005;0
MT;2010;0.005760363
MT;2015;0.062130987
MT;2016;0.061381643
MT;2017;0.063586294
MT;2018;0.070136259
MM;2000;0
MM;2005;0
MM;2010;0
MM;2015;0
MM;2016;0
MM;2017;0
MM;2018;0
ME;2000;0
ME;2005;0
ME;2010;0
ME;2015;0
ME;2016;0
ME;2017;0
ME;2018;0
MN;2000;0
MN;2005;0
MN;2010;0
MN;2015;0
MN;2016;0
MN;2017;0
MN;2018;0
MZ;2000;0
MZ;2005;0
MZ;2010;0
MZ;2015;0
MZ;2016;0
MZ;2017;0
MZ;2018;0
MY;2000;0
MY;2005;0
MY;2010;0.000935302
MY;2015;0.052098643
MY;2016;0.052276534
MY;2017;0.054784343
MY;2018;0.05868552
NA;2000;0
NA;2005;0
NA;2010;0
NA;2015;0
NA;2016;0
NA;2017;0
NA;2018;0
NE;2000;0
NE;2005;0
NE;2010;0
NE;2015;0
NE;2016;0
NE;2017;0
NE;2018;0
NG;2000;0
NG;2005;0
NG;2010;0
NG;2015;0
NG;2016;0
NG;2017;0
NG;2018;0
NI;2000;0
NI;2005;0
NI;2010;0
NI;2015;0
NI;2016;0
NI;2017;0
NI;2018;0
NL;2000;0
NL;2005;0
NL;2010;0.014610161
NL;2015;0.02766334
NL;2016;0.021326144
NL;2017;0.03105728
NL;2018;0.056211048
NO;2000;0
NO;2005;0
NO;2010;0.047091256
NO;2015;0.051470754
NO;2016;0.116948589
NO;2017;0.180570533
NO;2018;0.130153071
MK;2000;0
MK;2005;0
MK;2010;0.0016316
MK;2015;0.000741681
MK;2016;0.000142217
MK;2017;0.000234699
MK;2018;0.000164698
NP;2000;0
NP;2005;0
NP;2010;0
NP;2015;0
NP;2016;0
NP;2017;0
NP;2018;0
NZ;2000;0
NZ;2005;0
NZ;2010;0.000766429
NZ;2015;0.0002294
NZ;2016;0
NZ;2017;0
NZ;2018;0
OM;2000;0
OM;2005;0
OM;2010;0
OM;2015;0
OM;2016;0
OM;2017;0
OM;2018;0
PK;2000;0
PK;2005;0
PK;2010;0
PK;2015;0
PK;2016;0
PK;2017;0
PK;2018;0
PA;2000;0
PA;2005;0
PA;2010;0
PA;2015;0
PA;2016;0
PA;2017;0
PA;2018;0
PE;2000;0
PE;2005;0
PE;2010;0.019958966
PE;2015;0.049968455
PE;2016;0.049995742
PE;2017;0.049999954
PE;2018;0.050000043
PH;2000;0
PH;2005;0
PH;2010;0.02022573
PH;2015;0.02018395
PH;2016;0.020008285
PH;2017;0.020086125
PH;2018;0.019933151
PL;2000;0
PL;2005;0.002926058
PL;2010;0.068657027
PL;2015;0.049306293
PL;2016;0.024662205
PL;2017;0.030389257
PL;2018;0.050107882
KP;2000;0
KP;2005;0
KP;2010;0
KP;2015;0
KP;2016;0
KP;2017;0
KP;2018;0
PT;2000;0
PT;2005;0
PT;2010;0.066137977
PT;2015;0.073399295
PT;2016;0.056075491
PT;2017;0.055387395
PT;2018;0.058561247
PY;2000;0
PY;2005;0
PY;2010;0
PY;2015;0
PY;2016;0
PY;2017;0
PY;2018;0
QA;2000;0
QA;2005;0
QA;2010;0
QA;2015;0
QA;2016;0
QA;2017;0
QA;2018;0
RO;2000;0
RO;2005;0
RO;2010;0.023373126
RO;2015;0.038377593
RO;2016;0.043948718
RO;2017;0.047373315
RO;2018;0.045561816
RU;2000;0
RU;2005;0
RU;2010;0
RU;2015;0
RU;2016;0
RU;2017;0
RU;2018;0
SA;2000;0
SA;2005;0
SA;2010;0
SA;2015;0
SA;2016;0
SA;2017;0
SA;2018;0
SD;2000;0
SD;2005;0
SD;2010;0
SD;2015;0
SD;2016;0
SD;2017;0
SD;2018;0
SN;2000;0
SN;2005;0
SN;2010;0
SN;2015;0
SN;2016;0
SN;2017;0
SN;2018;0
SG;2000;0
SG;2005;0
SG;2010;0
SG;2015;0
SG;2016;0
SG;2017;0
SG;2018;0
SV;2000;0
SV;2005;0
SV;2010;0
SV;2015;0
SV;2016;0
SV;2017;0
SV;2018;0
RS;2000;0
RS;2005;0
RS;2010;0
RS;2015;0
RS;2016;0
RS;2017;0
RS;2018;0
SS;2000;0
SS;2005;0
SS;2010;0
SS;2015;0
SS;2016;0
SS;2017;0
SS;2018;0
SR;2000;0
SR;2005;0
SR;2010;0
SR;2015;0
SR;2016;0
SR;2017;0
SR;2018;0
SK;2000;0
SK;2005;0.01034489
SK;2010;0.048793535
SK;2015;0.086291666
SK;2016;0.081193496
SK;2017;0.067348428
SK;2018;0.067607497
SI;2000;0
SI;2005;0
SI;2010;0.036229296
SI;2015;0.017810004
SI;2016;0.010065775
SI;2017;0.014269659
SI;2018;0.044270746
SE;2000;0
SE;2005;0.002417741
SE;2010;0.042373097
SE;2015;0.170635864
SE;2016;0.223535703
SE;2017;0.267421027
SE;2018;0.289208816
SY;2000;0
SY;2005;0
SY;2010;0
SY;2015;0
SY;2016;0
SY;2017;0
SY;2018;0
TG;2000;0
TG;2005;0
TG;2010;0
TG;2015;0
TG;2016;0
TG;2017;0
TG;2018;0
TH;2000;0
TH;2005;0
TH;2010;0.036622799
TH;2015;0.082621721
TH;2016;0.074974906
TH;2017;0.071783521
TH;2018;0.077362587
TJ;2000;0
TJ;2005;0
TJ;2010;0
TJ;2015;0
TJ;2016;0
TJ;2017;0
TJ;2018;0
TM;2000;0
TM;2005;0
TM;2010;0
TM;2015;0
TM;2016;0
TM;2017;0
TM;2018;0
TT;2000;0
TT;2005;0
TT;2010;0
TT;2015;0
TT;2016;0
TT;2017;0
TT;2018;0
TN;2000;0
TN;2005;0
TN;2010;0
TN;2015;0
TN;2016;0
TN;2017;0
TN;2018;0
TR;2000;0
TR;2005;0
TR;2010;0.000780829
TR;2015;0.003895692
TR;2016;0.003281442
TR;2017;0.003204251
TR;2018;0.005229624
TW;2000;0
TW;2005;0
TW;2010;0
TW;2015;0
TW;2016;0
TW;2017;0
TW;2018;0
TZ;2000;0
TZ;2005;0
TZ;2010;0
TZ;2015;0
TZ;2016;0
TZ;2017;0
TZ;2018;0
UA;2000;0
UA;2005;0
UA;2010;0
UA;2015;0
UA;2016;0
UA;2017;0
UA;2018;0
UY;2000;0
UY;2005;0
UY;2010;0.00896367
UY;2015;0.062221791
UY;2016;0.058386607
UY;2017;0.056286509
UY;2018;0.049943803
US;2000;0.000191329
US;2005;0.002368922
US;2010;0.006688934
US;2015;0.034387724
US;2016;0.049962832
US;2017;0.039412492
US;2018;0.034127316
UZ;2000;0
UZ;2005;0
UZ;2010;0
UZ;2015;0
UZ;2016;0
UZ;2017;0
UZ;2018;0
VE;2000;0
VE;2005;0
VE;2010;0
VE;2015;0
VE;2016;0
VE;2017;0
VE;2018;0
VN;2000;0
VN;2005;0
VN;2010;0
VN;2015;0
VN;2016;0
VN;2017;0
VN;2018;0
YE;2000;0
YE;2005;0
YE;2010;0
YE;2015;0
YE;2016;0
YE;2017;0
YE;2018;0
ZA;2000;0
ZA;2005;0
ZA;2010;0
ZA;2015;0
ZA;2016;0
ZA;2017;0
ZA;2018;0
ZM;2000;0
ZM;2005;0
ZM;2010;0
ZM;2015;0
ZM;2016;0
ZM;2017;0
ZM;2018;0
ZW;2000;0
ZW;2005;0
ZW;2010;0
ZW;2015;0
ZW;2016;0
ZW;2017;0
ZW;2018;0
RER;2000;0
RER;2005;0.01
RER;2010;0.05
RER;2015;0.05
RER;2016;0.05
RER;2017;0.05
RER;2018;0.06
