country;year;Hydro;Nuclear;Gas;Solar;Wind;Biomass;Coal;Oil;Geothermal;Waste;Biogas CCS;Biomass CCS;Coal CCS;Gas CCS;Wood CCS;"Hydro, reservoir";Gas CCGT;Gas CHP;"Solar, thermal";"Wind, offshore";Lignite
BF;2025;0.050;0.000;0.000;0.840;0.000;0.000;0.000;0.110;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BF;2030;0.030;0.000;0.000;0.810;0.000;0.000;0.110;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BF;2040;0.010;0.000;0.000;0.540;0.000;0.000;0.450;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BF;2050;0.000;0.000;0.000;0.500;0.000;0.000;0.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BG;2000;0.070;0.450;0.050;0.000;0.000;0.000;0.420;0.020;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BG;2005;0.100;0.420;0.040;0.000;0.000;0.000;0.420;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BG;2010;0.110;0.330;0.040;0.000;0.010;0.000;0.490;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BG;2015;0.090;0.320;0.060;0.020;0.020;0.000;0.480;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BG;2016;0.090;0.320;0.070;0.020;0.020;0.000;0.470;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BG;2020;0.131;0.328;0.039;0.053;0.034;0.026;0.013;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.003;0.002;0.000;0.000;0.367
BG;2025;0.020;0.301;0.027;0.046;0.034;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.043;0.006;0.000;0.000;0.000;0.523
BG;2030;0.038;0.468;0.020;0.080;0.125;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.043;0.005;0.000;0.000;0.000;0.218
BG;2040;0.044;0.448;0.003;0.133;0.214;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.049;0.070;0.000;0.000;0.020;0.020
BG;2050;0.044;0.448;0.003;0.133;0.214;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.049;0.070;0.000;0.000;0.020;0.020
BI;2015;0.920;0.000;0.000;0.030;0.000;0.000;0.000;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BI;2016;0.930;0.000;0.000;0.030;0.000;0.000;0.000;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BI;2020;0.260;0.000;0.000;0.500;0.000;0.000;0.000;0.240;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BI;2025;0.390;0.000;0.000;0.200;0.000;0.000;0.000;0.030;0.380;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BI;2030;0.640;0.000;0.000;0.120;0.000;0.000;0.000;0.020;0.220;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BI;2040;0.680;0.000;0.000;0.220;0.000;0.000;0.000;0.000;0.100;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BI;2050;0.430;0.000;0.000;0.510;0.000;0.000;0.000;0.000;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BJ;2015;0.000;0.000;0.650;0.010;0.000;0.000;0.000;0.340;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BJ;2016;0.000;0.000;0.640;0.010;0.000;0.000;0.000;0.350;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BJ;2020;0.620;0.000;0.040;0.000;0.000;0.000;0.000;0.340;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BJ;2025;0.930;0.000;0.040;0.000;0.000;0.000;0.000;0.030;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BJ;2030;0.710;0.000;0.020;0.070;0.000;0.000;0.190;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BJ;2040;0.360;0.000;0.000;0.140;0.000;0.000;0.490;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BJ;2050;0.240;0.000;0.000;0.200;0.000;0.000;0.560;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BR;2015;0.040;0.030;0.140;0.000;0.040;0.080;0.050;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.570;0.000;0.000;0.000;0.000;0.000
BR;2016;0.040;0.030;0.090;0.000;0.050;0.090;0.040;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.620;0.000;0.000;0.000;0.000;0.000
BR;2020;0.040;0.030;0.060;0.000;0.040;0.040;0.030;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.610;0.000;0.090;0.000;0.000;0.000
BR;2025;0.040;0.040;0.080;0.010;0.100;0.080;0.030;0.020;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.600;0.000;0.000;0.000;0.000;0.000
BR;2030;0.040;0.040;0.090;0.010;0.110;0.080;0.030;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.590;0.000;0.000;0.000;0.000;0.000
BR;2040;0.040;0.040;0.110;0.020;0.120;0.070;0.020;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.570;0.000;0.000;0.000;0.000;0.000
BR;2050;0.040;0.040;0.130;0.020;0.120;0.060;0.020;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.560;0.000;0.000;0.000;0.000;0.000
BW;2015;0.000;0.000;0.000;0.000;0.000;0.000;0.950;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
