;;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise;Coal;Crude oil;Natural gas;Brown coal;Peat
;;m2.year;kg CO2-eq.;kg oil-eq.;kg 1,4-DC;kg P-eq.;kg 1,4-DC;kg U235-eq.;kg 1,4-DC;kg N-eq.;kg Cu-eq.;m2;kg CFC-11-eq.;kg PM10-eq.;kg NMVOC;kg SO2-eq.;kg 1,4-DC;m2.year;m3;Person*Pa/W;kilogram;kilogram;cubic meter;kilogram;kilogram
_lci_direct_noise, octave 4, day time, urban;noise, octave 4, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311000;0;0;0;0;0
_lci_direct_noise, octave 4, evening time, rural;noise, octave 4, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25600;0;0;0;0;0
_lci_direct_noise, octave 4, evening time, suburban;noise, octave 4, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;696000;0;0;0;0;0
_lci_direct_noise, octave 4, evening time, urban;noise, octave 4, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;583000;0;0;0;0;0
_lci_direct_noise, octave 4, night time, rural;noise, octave 4, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45500;0;0;0;0;0
_lci_direct_noise, octave 4, night time, suburban;noise, octave 4, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1240000;0;0;0;0;0
_lci_direct_noise, octave 4, night time, urban;noise, octave 4, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;989000;0;0;0;0;0
_lci_direct_noise, octave 5, day time, rural;noise, octave 5, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20400;0;0;0;0;0
_lci_direct_noise, octave 5, day time, suburban;noise, octave 5, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;563000;0;0;0;0;0
_lci_direct_noise, octave 5, day time, urban;noise, octave 5, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448000;0;0;0;0;0
_lci_direct_noise, octave 5, evening time, rural;noise, octave 5, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36600;0;0;0;0;0
_lci_direct_noise, octave 5, evening time, suburban;noise, octave 5, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1010000;0;0;0;0;0
_lci_direct_noise, octave 5, evening time, urban;noise, octave 5, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;842000;0;0;0;0;0
