;;carcinogenic substances into air;energy resources;global warming;heavy metals into air;heavy metals into soil;heavy metals into water;land use;main air pollutants and PM;mineral resources;non radioactive waste to deposit;ozone layer depletion;pesticides into soil;POP into water;radioactive substances into air;radioactive substances into water;radioactive waste to deposit;water pollutants;water resources;noise
;;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP
_lci_car_maintenance;maintenance, passenger car;84308.05016;78254.11086;477659.3367;170511.6776;4135.859156;81347.20713;3631.534803;252618.0814;1021277.619;98550.19522;883.7039407;13.18928228;14813.28123;0.016709187;765.9197919;68990.21412;38956.02612;5847.024839;0
_lci_powertrain_electric_EoL;market for manual dismantling of used electric passenger car;2.158113737;0.38722341;4.418904236;1.873193525;0.033406379;0.705707202;0.389290217;5.192466635;8.89078835;2.48381492;0.004140922;0.00027474;0.084150477;3.47E-08;0.001340654;0.120866932;0.224956977;0.032805798;0
_lci_powertrain_electric_powertrain_EoL;market for used powertrain from electric passenger car, manual dismantling;2.226191686;0.4192463;24.08466098;2.568831476;0.035520465;1.760345703;0.392795772;5.793657265;8.919000765;2.770922972;0.004674628;0.000282941;0.090814103;3.64E-08;0.001388355;0.125171762;0.543064824;0.048005511;0
_lci_powertrain_fuel_cell_ancillary_BoP;Ancillary BoP;1036.108979;404.4763534;3485.335714;9466.885371;177.0726362;4117.384836;64.51595772;4253.829445;2348.710361;339.6975389;5.262068836;0.256190835;41.85429523;5.62E-05;3.072278766;276.5888531;763.7762108;39.66563779;0
_lci_powertrain_fuel_cell_essential_BoP;Essential BoP;7476.30303;347.077169;2827.068156;590.505005;19.44668872;544.9479659;29.55195974;2568.53123;1262.373616;164.3158513;7.501901665;0.157602787;36.12725431;3.04E-05;1.55405273;139.9459408;5463.107112;40.06016328;0
_lci_powertrain_fuel_cell_stack;Stack 2020;1443.656682;682.936959;6890.739141;887.0551956;31.16345221;20985.19066;54.59183856;11269.63959;2002.314087;120.2052294;816.2673228;0.138205185;73.35378077;7.42E-05;3.785644727;340.776665;497.8580101;47.54058658;0
_lci_powertrain_inverter;market for inverter, for electric passenger car;7151.432291;2003.434697;20728.51197;25930.75715;1569.667527;28549.93825;381.7999378;20569.14786;16543.31498;708.9039736;29.91260566;3.699077433;252.4086619;0.0003351;18.73635238;1686.700139;3715.017543;192.9401015;0
_lci_powertrain_power_distribution_unit;market for power distribution unit, for electric passenger car;5826.335865;2397.456677;23661.57749;34977.21805;2568.730437;34789.91483;502.509959;25250.93696;18567.44453;717.8165656;42.61080971;2.354495505;328.7984024;0.000447122;25.40017625;2286.524014;4736.009618;239.8723842;0
_lci_road;market for road;779.5817555;1196.674258;5805.09014;569.282299;44.88486822;659.0054561;2270.578108;9931.391747;4254.745555;34.9912977;24.52782705;0.137540783;598.9859367;0.000145098;3.361985251;304.0913477;1040.029824;44.9776467;0
_lci_storage_battery_BoP;Battery BoP;3825.762276;504.6358059;5373.492087;4227.130028;59.03971793;2534.981174;78.04771869;4850.723367;5807.046251;325.0150504;3.864823574;0.324419854;50.86135117;5.07E-05;2.622948484;236.189848;436.8512721;74.26810183;0
_lci_storage_battery_cell;Battery cell;1913.819611;1480.806691;13277.38384;26177.56557;64.24704945;5744.225231;150.8829221;18585.12911;7805.310202;296.2608942;11.2160795;0.394047712;143.5301622;0.000305301;17.41702522;1567.800895;1394.498337;175.1790918;0
_lci_storage_battery_cell_production_electricity;market group for electricity, medium voltage;18.29828587;36.22793096;335.5202082;18.08977163;1.495852153;14.681641;1.963522307;276.6763001;2.92218305;1.317232899;0.237394351;0.004599041;2.649138552;8.91E-06;0.52393879;47.16038162;13.73856094;2.535210369;0
_lci_storage_battery_cell_production_heat;market for heat, central or small-scale, natural gas;1.484703036;4.366506583;35.11828089;0.737531908;0.024925822;2.142625981;0.024476948;4.396883769;0.397553334;0.13900783;0.042543693;0.000450524;0.108327982;5.56E-08;0.002960448;0.266537059;0.208609635;0.022035746;0
_lci_storage_cng_tank;glass fibre reinforced plastic production, polyamide, injection moulded;57.14134439;486.2809056;3917.933728;37.6405271;4.074960544;482.3398184;10.28606493;1477.612884;37.27638845;34.03771305;1.134218133;0.027199915;9.209204069;3.12E-05;1.550683707;139.6316553;462.0731096;127.0102833;0
_lci_storage_fuel_tank;polyethylene production, high density, granulate;2.561146345;264.3270454;903.5196113;1.018402173;0.020160584;25.86406342;0.062752943;337.6149833;0.368716617;7.134152233;0.012504211;0.000120144;0.055723565;4.16E-08;0.001751217;0.157734964;2.265907621;7.018665954;0
_lci_storage_h2_tank;Fuel tank, compressed hydrogen gas, 700bar;3527.059149;1853.729124;17190.17577;1898.265993;130.1974716;1196.9114;96.18272664;11910.49656;2620.782493;261.3129056;15.49278169;0.296126543;252.7121599;0.000273469;14.7959537;1332.163915;1427.672246;120.0593589;0
