size,powertrain,euro_class,component,value
Scooter <4kW,ICEV-p,1,Styrene,0.0089
Scooter <4kW,ICEV-p,1,PAHs,1.92E-11
Scooter <4kW,ICEV-p,1,Arsenic,1.66E-13
Scooter <4kW,ICEV-p,1,Selenium,1.11E-13
Scooter <4kW,ICEV-p,1,Zinc,1.19E-09
Scooter <4kW,ICEV-p,1,Copper,2.32E-11
Scooter <4kW,ICEV-p,1,Nickel,7.18E-12
Scooter <4kW,ICEV-p,1,Chromium,8.83E-12
Scooter <4kW,ICEV-p,1,Chromium VI,1.77E-14
Scooter <4kW,ICEV-p,1,Mercury,4.81E-12
Scooter <4kW,ICEV-p,1,Cadmium,5.96E-12
Scooter <4kW,ICEV-p,2,Carbon monoxide,4.7974
Scooter <4kW,ICEV-p,2,Nitrogen oxides,0.1942
Scooter <4kW,ICEV-p,2,Non-methane hydrocarbon,0.4584
Scooter <4kW,ICEV-p,2,Particulate matters 2.5,0.008
Scooter <4kW,ICEV-p,2,Methane,0.0275
Scooter <4kW,ICEV-p,2,Ammonia,0.0011
Scooter <4kW,ICEV-p,2,Dinitrogen oxide,0.0011
Scooter <4kW,ICEV-p,2,Ethane,0.0289
Scooter <4kW,ICEV-p,2,Propane,0.0063
Scooter <4kW,ICEV-p,2,Butane,0.0469
Scooter <4kW,ICEV-p,2,Pentane,0.0199
Scooter <4kW,ICEV-p,2,Hexane,0.0144
Scooter <4kW,ICEV-p,2,Cyclohexane,0.0099
Scooter <4kW,ICEV-p,2,Heptane,0.0063
Scooter <4kW,ICEV-p,2,Ethene,0.0659
Scooter <4kW,ICEV-p,2,Propene,0.0343
Scooter <4kW,ICEV-p,2,1-Pentene,0.0009
Scooter <4kW,ICEV-p,2,Toluene,0.0993
Scooter <4kW,ICEV-p,2,m-Xylene,0.0487
Scooter <4kW,ICEV-p,2,o-Xylene,0.0208
Scooter <4kW,ICEV-p,2,Formaldehyde,0.0153
Scooter <4kW,ICEV-p,2,Acetaldehyde,0.0072
Scooter <4kW,ICEV-p,2,Benzaldehyde,0.0018
Scooter <4kW,ICEV-p,2,Acetone,0.0054
Scooter <4kW,ICEV-p,2,Methyl ethyl ketone,0.0009
Scooter <4kW,ICEV-p,2,Acrolein,0.0018
Scooter <4kW,ICEV-p,2,Styrene,0.009
Scooter <4kW,ICEV-p,2,PAHs,1.92E-11
Scooter <4kW,ICEV-p,2,Arsenic,1.66E-13
Scooter <4kW,ICEV-p,2,Selenium,1.11E-13
Scooter <4kW,ICEV-p,2,Zinc,1.19E-09
Scooter <4kW,ICEV-p,2,Copper,2.32E-11
Scooter <4kW,ICEV-p,2,Nickel,7.18E-12
Scooter <4kW,ICEV-p,2,Chromium,8.83E-12
Scooter <4kW,ICEV-p,2,Chromium VI,1.77E-14
Scooter <4kW,ICEV-p,2,Mercury,4.81E-12
Scooter <4kW,ICEV-p,2,Cadmium,5.96E-12
Scooter <4kW,ICEV-p,3,Carbon monoxide,2.7988
Scooter <4kW,ICEV-p,3,Nitrogen oxides,0.5159
Scooter <4kW,ICEV-p,3,Non-methane hydrocarbon,0.7449
Scooter <4kW,ICEV-p,3,Particulate matters 2.5,0.0093
Scooter <4kW,ICEV-p,3,Methane,0.0281
Scooter <4kW,ICEV-p,3,Ammonia,0.0014
Scooter <4kW,ICEV-p,3,Dinitrogen oxide,0.0014
Scooter <4kW,ICEV-p,3,Ethane,0.0469
Scooter <4kW,ICEV-p,3,Propane,0.0103
Scooter <4kW,ICEV-p,3,Butane,0.0762
Scooter <4kW,ICEV-p,3,Pentane,0.0323
Scooter <4kW,ICEV-p,3,Hexane,0.0235
Scooter <4kW,ICEV-p,3,Cyclohexane,0.0161
Scooter <4kW,ICEV-p,3,Heptane,0.0103
Scooter <4kW,ICEV-p,3,Ethene,0.107
Scooter <4kW,ICEV-p,3,Propene,0.0557
Scooter <4kW,ICEV-p,3,1-Pentene,0.0015
Scooter <4kW,ICEV-p,3,Toluene,0.1613
Scooter <4kW,ICEV-p,3,m-Xylene,0.0792
Scooter <4kW,ICEV-p,3,o-Xylene,0.0337
Scooter <4kW,ICEV-p,3,Formaldehyde,0.0249
Scooter <4kW,ICEV-p,3,Acetaldehyde,0.0117
Scooter <4kW,ICEV-p,3,Benzaldehyde,0.0029
Scooter <4kW,ICEV-p,3,Acetone,0.0088
Scooter <4kW,ICEV-p,3,Methyl ethyl ketone,0.0015
Scooter <4kW,ICEV-p,3,Acrolein,0.0029
Scooter <4kW,ICEV-p,3,Styrene,0.0147
Scooter <4kW,ICEV-p,3,PAHs,1.92E-11
Scooter <4kW,ICEV-p,3,Arsenic,1.66E-13
Scooter <4kW,ICEV-p,3,Selenium,1.11E-13
Scooter <4kW,ICEV-p,3,Zinc,1.19E-09
Scooter <4kW,ICEV-p,3,Copper,2.32E-11
Scooter <4kW,ICEV-p,3,Nickel,7.18E-12
Scooter <4kW,ICEV-p,3,Chromium,8.83E-12
Scooter <4kW,ICEV-p,3,Chromium VI,1.77E-14
Scooter <4kW,ICEV-p,3,Mercury,4.81E-12
Scooter <4kW,ICEV-p,3,Cadmium,5.96E-12
Scooter <4kW,ICEV-p,4,Carbon monoxide,2.9007
Scooter <4kW,ICEV-p,4,Nitrogen oxides,0.0584
Scooter <4kW,ICEV-p,4,Non-methane hydrocarbon,0.2696
Scooter <4kW,ICEV-p,4,Particulate matters 2.5,0.0021
Scooter <4kW,ICEV-p,4,Methane,0.0279
Scooter <4kW,ICEV-p,4,Ammonia,0.0014
Scooter <4kW,ICEV-p,4,Dinitrogen oxide,0.0014
Scooter <4kW,ICEV-p,4,Ethane,0.017
Scooter <4kW,ICEV-p,4,Propane,0.0037
Scooter <4kW,ICEV-p,4,Butane,0.0276
Scooter <4kW,ICEV-p,4,Pentane,0.0117
Scooter <4kW,ICEV-p,4,Hexane,0.0085
