powertrain,euro_class,component,size,value
ICEV-d,2,Dinitrogen oxide,60t,0.00060182
ICEV-d,2,Ammonia,60t,0.000136389
ICEV-d,2,Non-methane hydrocarbon,60t,0.026971104
ICEV-d,2,Nitrogen dioxide,60t,0.058250096
ICEV-d,2,Nitrogen oxides,60t,0.832144158
ICEV-d,2,Lead,60t,0
ICEV-d,2,Particulate matters 2.5,60t,0.015286429
ICEV-d,2,Benzene,7.5t,0.000541807
ICEV-d,2,Methane,7.5t,0.000778644
ICEV-d,2,Carbon monoxide,7.5t,0.110214098
ICEV-d,2,Hydrocarbon,7.5t,0.032443519
ICEV-d,2,Dinitrogen oxide,7.5t,0.001003601
ICEV-d,2,Ammonia,7.5t,0.000378583
ICEV-d,2,Non-methane hydrocarbon,7.5t,0.031664875
ICEV-d,2,Nitrogen dioxide,7.5t,0.05222388
ICEV-d,2,Nitrogen oxides,7.5t,0.746055424
ICEV-d,2,Lead,7.5t,0
ICEV-d,2,Particulate matters 2.5,7.5t,0.014951555
ICEV-d,3,Benzene,3.5t,0.000428769
ICEV-d,3,Methane,3.5t,0.000616195
ICEV-d,3,Carbon monoxide,3.5t,0.144966302
ICEV-d,3,Hydrocarbon,3.5t,0.025674807
ICEV-d,3,Dinitrogen oxide,3.5t,0.000423978
ICEV-d,3,Ammonia,3.5t,0.000486083
ICEV-d,3,Non-methane hydrocarbon,3.5t,0.025058613
ICEV-d,3,Nitrogen dioxide,3.5t,0.042285526
ICEV-d,3,Nitrogen oxides,3.5t,0.604078954
ICEV-d,3,Lead,3.5t,0
ICEV-d,3,Particulate matters 2.5,3.5t,0.013602407
ICEV-d,3,Benzene,18t,0.00033611
ICEV-d,3,Methane,18t,0.000483033
ICEV-d,3,Carbon monoxide,18t,0.116218715
ICEV-d,3,Hydrocarbon,18t,0.020126363
ICEV-d,3,Dinitrogen oxide,18t,0.000472451
ICEV-d,3,Ammonia,18t,0.000302487
ICEV-d,3,Non-methane hydrocarbon,18t,0.019643331
ICEV-d,3,Nitrogen dioxide,18t,0.041003855
ICEV-d,3,Nitrogen oxides,18t,0.58576938
ICEV-d,3,Lead,18t,0
ICEV-d,3,Particulate matters 2.5,18t,0.011286759
ICEV-d,3,Benzene,26t,0.00048411
ICEV-d,3,Methane,26t,0.000695726
ICEV-d,3,Carbon monoxide,26t,0.133098577
ICEV-d,3,Hydrocarbon,26t,0.028988602
ICEV-d,3,Dinitrogen oxide,26t,0.000342621
ICEV-d,3,Ammonia,26t,0.000219363
ICEV-d,3,Non-methane hydrocarbon,26t,0.028292876
ICEV-d,3,Nitrogen dioxide,26t,0.0401842
ICEV-d,3,Nitrogen oxides,26t,0.574060006
ICEV-d,3,Lead,26t,0
ICEV-d,3,Particulate matters 2.5,26t,0.014672842
ICEV-d,3,Benzene,32t,0.00041265
ICEV-d,3,Methane,32t,0.00059303
ICEV-d,3,Carbon monoxide,32t,0.13985997
ICEV-d,3,Hydrocarbon,32t,0.024709584
ICEV-d,3,Dinitrogen oxide,32t,0.000528758
ICEV-d,3,Ammonia,32t,0.000217227
ICEV-d,3,Non-methane hydrocarbon,32t,0.024116554
ICEV-d,3,Nitrogen dioxide,32t,0.045114778
ICEV-d,3,Nitrogen oxides,32t,0.644496832
ICEV-d,3,Lead,32t,0
ICEV-d,3,Particulate matters 2.5,32t,0.013424137
ICEV-d,3,Benzene,40t,0.000444835
ICEV-d,3,Methane,40t,0.000639284
ICEV-d,3,Carbon monoxide,40t,0.142053231
ICEV-d,3,Hydrocarbon,40t,0.026636849
ICEV-d,3,Dinitrogen oxide,40t,0.000478082
ICEV-d,3,Ammonia,40t,0.000172037
ICEV-d,3,Non-methane hydrocarbon,40t,0.025997564
ICEV-d,3,Nitrogen dioxide,40t,0.045596594
ICEV-d,3,Nitrogen oxides,40t,0.651379908
ICEV-d,3,Lead,40t,0
ICEV-d,3,Particulate matters 2.5,40t,0.014074437
ICEV-d,3,Benzene,60t,0.000433498
ICEV-d,3,Methane,60t,0.000622991
ICEV-d,3,Carbon monoxide,60t,0.143727836
ICEV-d,3,Hydrocarbon,60t,0.025957964
ICEV-d,3,Dinitrogen oxide,60t,0.000384774
ICEV-d,3,Ammonia,60t,0.00013846
ICEV-d,3,Non-methane hydrocarbon,60t,0.025334972
ICEV-d,3,Nitrogen dioxide,60t,0.046823681
ICEV-d,3,Nitrogen oxides,60t,0.668909731
ICEV-d,3,Lead,60t,0
ICEV-d,3,Particulate matters 2.5,60t,0.014134848
ICEV-d,3,Benzene,7.5t,0.000467662
ICEV-d,3,Methane,7.5t,0.000672089
ICEV-d,3,Carbon monoxide,7.5t,0.12603213
ICEV-d,3,Hydrocarbon,7.5t,0.028003689
ICEV-d,3,Dinitrogen oxide,7.5t,0.000584924
ICEV-d,3,Ammonia,7.5t,0.000374498
ICEV-d,3,Non-methane hydrocarbon,7.5t,0.0273316
ICEV-d,3,Nitrogen dioxide,7.5t,0.037999498
ICEV-d,3,Nitrogen oxides,7.5t,0.542849988
ICEV-d,3,Lead,7.5t,0
ICEV-d,3,Particulate matters 2.5,7.5t,0.013769823
ICEV-d,4,Benzene,3.5t,4.1963E-05
ICEV-d,4,Methane,3.5t,6.03061E-05
ICEV-d,4,Carbon monoxide,3.5t,0.141392198
ICEV-d,4,Hydrocarbon,3.5t,0.002512753
ICEV-d,4,Dinitrogen oxide,3.5t,0.000879141
ICEV-d,4,Ammonia,3.5t,0.000393396
ICEV-d,4,Non-methane hydrocarbon,3.5t,0.002452447
ICEV-d,4,Nitrogen dioxide,3.5t,0.053677426
ICEV-d,4,Nitrogen oxides,3.5t,0.418308522
ICEV-d,4,Lead,3.5t,0
ICEV-d,4,Particulate matters 2.5,3.5t,0.003531138
ICEV-d,4,Benzene,18t,4.13841E-05
ICEV-d,4,Methane,18t,5.94741E-05
ICEV-d,4,Carbon monoxide,18t,0.156679249
ICEV-d,4,Hydrocarbon,18t,0.002478088
ICEV-d,4,Dinitrogen oxide,18t,0.00112033
ICEV-d,4,Ammonia,18t,0.000259053
ICEV-d,4,Non-methane hydrocarbon,18t,0.002418614
ICEV-d,4,Nitrogen dioxide,18t,0.053367847
ICEV-d,4,Nitrogen oxides,18t,0.408030786
ICEV-d,4,Lead,18t,0
ICEV-d,4,Particulate matters 2.5,18t,0.00348988
ICEV-d,4,Benzene,26t,5.05301E-05
ICEV-d,4,Methane,26t,7.26181E-05
ICEV-d,4,Carbon monoxide,26t,0.100978717
ICEV-d,4,Hydrocarbon,26t,0.003025754
ICEV-d,4,Dinitrogen oxide,26t,0.000808494
ICEV-d,4,Ammonia,26t,0.000186947
ICEV-d,4,Non-methane hydrocarbon,26t,0.002953135
ICEV-d,4,Nitrogen dioxide,26t,0.047985549
ICEV-d,4,Nitrogen oxides,26t,0.394489152
ICEV-d,4,Lead,26t,0
ICEV-d,4,Particulate matters 2.5,26t,0.003022449
ICEV-d,4,Benzene,32t,4.2533E-05
ICEV-d,4,Methane,32t,6.11252E-05
ICEV-d,4,Carbon monoxide,32t,0.132857687
ICEV-d,4,Hydrocarbon,32t,0.002546885
ICEV-d,4,Dinitrogen oxide,32t,0.001229885
