Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
133;0.007;0.007;0.003484;0.007;0.003484;0.007
134;0.007;0.007;0.003484;0.007;0.003484;0.007
135;0.007;0.007;0.003484;0.007;0.003484;0.007
136;0.006973;0.007;0.003484;0.006969;0.003484;0.006957
137;0.006199;0.006951;0.003484;0.006166;0.004164;0.006067
138;0.005908;0.006022;0.003484;0.00587;0.004859;0.00576
139;0.005;0.005709;0.003689;0.005;0.006132;0.005
140;0.004358;0.005;0.004649;0.004321;0.007082;0.00421
141;0.003292;0.004166;0.005676;0.003252;0.007916;0.003136
142;0.002199;0.003139;0.006496;0.002164;0.008989;0.002059
143;0.00143;0.002035;0.007624;0.001393;0.008989;0.001283
144;0.000835;0.001281;0.008668;0.000814;0.008989;0.000751
145;0.00009;0.000768;0.008989;0.000074;0.008989;0.000027
146;0;0.000007;0.008989;0;0.008989;0
147;0;0;0.008989;0;0.008367;0
148;0;0;0.008989;0;0.007737;0
149;0;0;0.008808;0;0.007737;0
150;0;0;0.007828;0;0.007078;0
151;0;0;0.007737;0;0.006331;0
152;0;0;0.007532;0;0.004707;0
153;0;0;0.006621;0;0.003361;0
154;0;0;0.005281;0;0.002198;0
155;0.000259;0;0.004146;0.000293;0.000699;0.000392
156;0.001167;0.00039;0.002648;0.001196;-0.000777;0.001279
157;0.00219;0.001269;0.001198;0.002237;-0.00117;0.002376
158;0.003848;0.002391;-0.000046;0.003904;-0.00117;0.004071
159;0.005698;0.004051;-0.00117;0.005782;-0.00117;0.006031
160;0.007736;0.006048;-0.00117;0.00781;-0.00117;0.00803
161;0.009453;0.00806;-0.00117;0.009503;-0.00117;0.009651
162;0.010048;0.0097;-0.00117;0.010085;-0.00117;0.010124
163;0.010144;0.010048;-0.00117;0.010103;-0.00117;0.010063
164;0.009998;0.010147;-0.00117;0.009942;-0.00117;0.009891
165;0.009193;0.009828;-0.00117;0.009222;-0.00117;0.009162
166;0.008734;0.00907;-0.00117;0.008583;-0.00117;0.008489
167;0.008;0.008398;-0.00117;0.008144;-0.00117;0.008144
168;0.008;0.008;-0.00117;0.008114;-0.00117;0.008098
169;0.008;0.008;-0.00117;0.008;-0.00117;0.008
170;0.008;0.008;-0.00117;0.008;-0.00117;0.008
171;0.008;0.008;-0.00117;0.008;-0.00117;0.008
172;0.008;0.008;-0.00117;0.008;-0.00117;0.008
173;0.008;0.008;-0.00117;0.008;-0.00117;0.008
174;0.008;0.008;-0.00117;0.008;-0.00117;0.008
175;0.008;0.008;-0.00117;0.008;-0.00117;0.008
176;0.008;0.008;-0.00117;0.008;-0.00117;0.008
177;0.008;0.008;-0.00117;0.008;-0.00117;0.008
178;0.008;0.008;-0.00117;0.008;-0.00117;0.008
179;0.008;0.008;-0.00117;0.008;-0.00117;0.008
180;0.008;0.008;-0.00117;0.008;-0.00117;0.008
181;0.008;0.008;-0.00117;0.008;-0.00117;0.008
182;0.008;0.008;-0.00117;0.008;-0.00117;0.008
183;0.008;0.008;-0.00117;0.008;-0.00117;0.008
184;0.008;0.008;-0.00117;0.008;-0.00117;0.008
185;0.008;0.008;-0.00117;0.008;-0.00117;0.008
186;0.008;0.008;-0.00117;0.008;-0.00117;0.008
187;0.008;0.008;-0.00117;0.008;-0.00117;0.008
188;0.008;0.008;-0.00117;0.008;-0.00117;0.008
189;0.008;0.008;-0.00117;0.008;-0.00117;0.008
190;0.008;0.008;-0.00117;0.008;-0.00117;0.008
191;0.008;0.008;-0.00117;0.008;-0.00117;0.008
192;0.008;0.008;-0.00117;0.008;-0.00117;0.008
193;0.008;0.008;-0.00117;0.008;-0.00117;0.008
194;0.008;0.008;-0.00117;0.008;-0.00117;0.008
195;0.008;0.008;-0.00117;0.008;-0.00117;0.008
196;0.008;0.008;-0.00117;0.008;-0.00117;0.008
197;0.008;0.008;-0.00117;0.008;-0.00117;0.008
198;0.008;0.008;-0.00117;0.008;-0.001159;0.008
199;0.008;0.008;-0.00117;0.008;-0.00047;0.008
200;0.008;0.008;-0.00117;0.008;0.000151;0.008
201;0.008;0.008;-0.000919;0.008;0.001054;0.008
202;0.008;0.008;-0.000045;0.008;0.001828;0.008
203;0.006865;0.007989;0.000741;0.006755;0.002486;0.006526
204;0.004851;0.005907;0.001401;0.004743;0.003287;0.004519
205;0.002372;0.003905;0.002207;0.002219;0.004133;0.0019
206;-0.000597;0.001217;0.003026;-0.000772;0.004821;-0.001138
207;-0.00452;-0.002101;0.003736;-0.00472;0.005519;-0.005136
208;-0.008104;-0.005951;0.00446;-0.00832;0.006439;-0.008771
209;-0.011829;-0.009432;0.005312;-0.012186;0.007156;-0.012822
210;-0.016849;-0.013694;0.006071;-0.01719;0.007772;-0.017542
211;-0.022919;-0.019075;0.006712;-0.023775;0.008723;-0.024584
212;-0.02927;-0.025119;0.007607;-0.030403;0.008723;-0.031309
213;-0.037768;-0.032597;0.008396;-0.038931;0.008723;-0.039655
214;-0.044931;-0.04038;0.008723;-0.045975;0.008723;-0.046589
215;-0.050568;-0.047338;0.008723;-0.051311;0.008723;-0.051806
216;-0.054656;-0.052501;0.008723;-0.055096;0.008723;-0.055261
217;-0.056536;-0.055368;0.008723;-0.056695;0.008723;-0.056786
218;-0.056653;-0.056881;0.008723;-0.056381;0.008723;-0.056226
219;-0.054868;-0.056082;0.008723;-0.054434;0.008723;-0.054187
220;-0.051904;-0.053957;0.008723;-0.051307;0.008723;-0.05097
221;-0.048218;-0.050653;0.008723;-0.047464;0.008723;-0.047045
